,movie_id,title,kafka_id
114,301.0,Rio Bravo,rio+bravo+1959
115,303.0,Notorious,notorious+1946
116,307.0,"Rome, Open City",rome_+open+city+1945
117,309.0,The Celebration,the+celebration+1998
118,310.0,Bruce Almighty,bruce+almighty+2003
119,312.0,Beyond Silence,beyond+silence+1996
120,313.0,Snow Cake,snow+cake+2006
121,315.0,"Faster, Pussycat! Kill! Kill!",faster_+pussycat+kill+kill+1965
122,319.0,True Romance,true+romance+1993
123,333.0,Bollywood/Hollywood,bollywoodhollywood+2002
124,336.0,"Duck, You Sucker",duck_+you+sucker+1971
125,337.0,Monsieur Ibrahim,monsieur+ibrahim+2003
126,338.0,"Good bye, Lenin!",good+bye_+lenin+2003
127,339.0,Night on Earth,night+on+earth+1991
128,340.0,Everything is Illuminated,everything+is+illuminated+2005
129,342.0,Summer Storm,summer+storm+2004
130,343.0,Harold and Maude,harold+and+maude+1971
131,345.0,Eyes Wide Shut,eyes+wide+shut+1999
132,346.0,Seven Samurai,seven+samurai+1954
133,348.0,Alien,alien+1979
134,349.0,Cockles and Muscles,cockles+and+muscles+2005
135,350.0,The Devil Wears Prada,the+devil+wears+prada+2006
136,380.0,Rain Man,rain+man+1988
137,383.0,Mala Noche,mala+noche+1986
138,387.0,Das Boot,das+boot+1981
139,388.0,Inside Man,inside+man+2006
140,389.0,12 Angry Men,12+angry+men+1957
141,392.0,Chocolat,chocolat+2000
142,396.0,Who's Afraid of Virginia Woolf?,whos+afraid+of+virginia+woolf+1966
143,398.0,Capote,capote+2005
144,400.0,Things to Do in Denver When You're Dead,things+to+do+in+denver+when+youre+dead+1995
145,401.0,Garden State,garden+state+2004
146,402.0,Basic Instinct,basic+instinct+1992
147,403.0,Driving Miss Daisy,driving+miss+daisy+1989
148,405.0,La Strada,la+strada+1954
149,406.0,La Haine,la+haine+1995
150,408.0,Snow White and the Seven Dwarfs,snow+white+and+the+seven+dwarfs+1937
151,411.0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",the+chronicles+of+narnia+the+lion_+the+witch+and+the+wardrobe+2005
152,421.0,The Life Aquatic with Steve Zissou,the+life+aquatic+with+steve+zissou+2004
153,422.0,8½,8+1963
154,425.0,Ice Age,ice+age+2002
155,426.0,Vertigo,vertigo+1958
156,427.0,Mon oncle,mon+oncle+1958
157,429.0,"The Good, the Bad and the Ugly",the+good_+the+bad+and+the+ugly+1966
158,430.0,"One, Two, Three",one_+two_+three+1961
159,435.0,The Day After Tomorrow,the+day+after+tomorrow+2004
160,438.0,Cube Zero,cube+zero+2004
161,440.0,Aliens vs Predator: Requiem,aliens+vs+predator+requiem+2007
162,441.0,Human Nature,human+nature+2001
163,453.0,A Beautiful Mind,a+beautiful+mind+2001
164,454.0,Romeo + Juliet,romeo++juliet+1996
165,466.0,Klute,klute+1971
166,476.0,Drugstore Cowboy,drugstore+cowboy+1989
167,479.0,Shaft,shaft+2000
168,480.0,Monsoon Wedding,monsoon+wedding+2001
169,483.0,Wild at Heart,wild+at+heart+1990
170,488.0,The African Queen,the+african+queen+1951
171,489.0,Good Will Hunting,good+will+hunting+1997
172,497.0,The Green Mile,the+green+mile+1999
173,500.0,Reservoir Dogs,reservoir+dogs+1992
174,502.0,Fail-Safe,fail-safe+1964
175,504.0,Monster,monster+2003
176,508.0,Love Actually,love+actually+2003
177,510.0,One Flew Over the Cuckoo's Nest,one+flew+over+the+cuckoos+nest+1975
178,513.0,Fire,fire+1996
179,521.0,Dial M for Murder,dial+m+for+murder+1954
180,522.0,Ed Wood,ed+wood+1994
181,525.0,The Blues Brothers,the+blues+brothers+1980
182,526.0,Ladyhawke,ladyhawke+1985
183,527.0,Once Were Warriors,once+were+warriors+1994
184,532.0,A Close Shave,a+close+shave+1995
185,533.0,The Curse of the Were-Rabbit,the+curse+of+the+were-rabbit+2005
186,534.0,Terminator Salvation,terminator+salvation+2009
187,541.0,The Man with the Golden Arm,the+man+with+the+golden+arm+1955
188,544.0,There's Something About Mary,theres+something+about+mary+1998
189,546.0,Transamerica,transamerica+2005
190,550.0,Fight Club,fight+club+1999
191,553.0,Dogville,dogville+2003
192,557.0,Spider-Man,spider-man+2002
193,558.0,Spider-Man 2,spider-man+2+2004
194,559.0,Spider-Man 3,spider-man+3+2007
195,561.0,Constantine,constantine+2005
196,562.0,Die Hard,die+hard+1988
197,563.0,Starship Troopers,starship+troopers+1997
198,564.0,The Mummy,the+mummy+1999
199,567.0,Rear Window,rear+window+1954
200,568.0,Apollo 13,apollo+13+1995
201,571.0,The Birds,the+birds+1963
202,574.0,The Man Who Knew Too Much,the+man+who+knew+too+much+1956
203,577.0,To Die For,to+die+for+1995
204,578.0,Jaws,jaws+1975
205,581.0,Dances with Wolves,dances+with+wolves+1990
206,582.0,The Lives of Others,the+lives+of+others+2006
207,585.0,"Monsters, Inc.",monsters_+inc.+2001
208,585.0,,monsters_+inc.+2001
209,587.0,Big Fish,big+fish+2003
210,588.0,Silent Hill,silent+hill+2006
211,592.0,The Conversation,the+conversation+1974
212,593.0,Solaris,solaris+1972
213,596.0,The Grapes of Wrath,the+grapes+of+wrath+1940
214,597.0,Titanic,titanic+1997
215,598.0,City of God,city+of+god+2002
216,601.0,E.T. the Extra-Terrestrial,e.t.+the+extra-terrestrial+1982
217,602.0,Independence Day,independence+day+1996
218,603.0,The Matrix,the+matrix+1999
219,605.0,The Matrix Revolutions,the+matrix+revolutions+2003
220,607.0,Men in Black,men+in+black+1997
221,608.0,Men in Black II,men+in+black+ii+2002
222,609.0,Poltergeist,poltergeist+1982
223,613.0,Downfall,downfall+2004
224,616.0,The Last Samurai,the+last+samurai+2003
225,620.0,Ghostbusters,ghostbusters+1984
226,621.0,Grease,grease+1978
227,624.0,Easy Rider,easy+rider+1969
228,625.0,The Killing Fields,the+killing+fields+1984
229,628.0,Interview with the Vampire,interview+with+the+vampire+1994
230,630.0,The Wizard of Oz,the+wizard+of+oz+1939
231,631.0,Sunrise: A Song of Two Humans,sunrise+a+song+of+two+humans+1927
232,635.0,Angel Heart,angel+heart+1987
233,638.0,Lost Highway,lost+highway+1997
234,640.0,Catch Me If You Can,catch+me+if+you+can+2002
235,641.0,Requiem for a Dream,requiem+for+a+dream+2000
236,644.0,A.I. Artificial Intelligence,a.i.+artificial+intelligence+2001
237,646.0,Dr. No,dr.+no+1962
238,648.0,Beauty and the Beast,beauty+and+the+beast+1946
239,651.0,M*A*S*H,m*a*s*h+1970
240,652.0,Troy,troy+2004
241,653.0,Nosferatu,nosferatu+1922
242,654.0,On the Waterfront,on+the+waterfront+1954
243,657.0,From Russia with Love,from+russia+with+love+1963
244,660.0,Thunderball,thunderball+1965
245,661.0,The Marriage of Maria Braun,the+marriage+of+maria+braun+1979
246,663.0,Saw IV,saw+iv+2007
247,671.0,Harry Potter and the Philosopher's Stone,harry+potter+and+the+philosophers+stone+2001
248,672.0,Harry Potter and the Chamber of Secrets,harry+potter+and+the+chamber+of+secrets+2002
249,673.0,Harry Potter and the Prisoner of Azkaban,harry+potter+and+the+prisoner+of+azkaban+2004
250,674.0,Harry Potter and the Goblet of Fire,harry+potter+and+the+goblet+of+fire+2005
251,675.0,Harry Potter and the Order of the Phoenix,harry+potter+and+the+order+of+the+phoenix+2007
252,677.0,Olympia Part One: Festival of the Nations,olympia+part+one+festival+of+the+nations+1938
253,678.0,Out of the Past,out+of+the+past+1947
254,679.0,Aliens,aliens+1986
255,680.0,Pulp Fiction,pulp+fiction+1994
256,682.0,The Man with the Golden Gun,the+man+with+the+golden+gun+1974
257,685.0,Olympia Part Two: Festival of Beauty,olympia+part+two+festival+of+beauty+1938
258,687.0,Dead Man Walking,dead+man+walking+1995
259,689.0,The Travelling Players,the+travelling+players+1975
260,694.0,The Shining,the+shining+1980
261,697.0,October (Ten Days that Shook the World),october+ten+days+that+shook+the+world+1928
262,701.0,Our Hospitality,our+hospitality+1923
263,703.0,Annie Hall,annie+hall+1977
264,712.0,Four Weddings and a Funeral,four+weddings+and+a+funeral+1994
265,742.0,Together,together+2000
266,744.0,Top Gun,top+gun+1986
267,745.0,The Sixth Sense,the+sixth+sense+1999
268,746.0,The Last Emperor,the+last+emperor+1987
269,751.0,Murder at the Gallop,murder+at+the+gallop+1963
270,755.0,From Dusk Till Dawn,from+dusk+till+dawn+1996
271,756.0,Fantasia,fantasia+1940
272,758.0,Murder Ahoy,murder+ahoy+1964
273,759.0,Gentlemen Prefer Blondes,gentlemen+prefer+blondes+1953
274,762.0,Monty Python and the Holy Grail,monty+python+and+the+holy+grail+1975
275,763.0,Braindead,braindead+1992
276,766.0,Army of Darkness,army+of+darkness+1992
277,767.0,Harry Potter and the Half-Blood Prince,harry+potter+and+the+half-blood+prince+2009
278,768.0,From Hell,from+hell+2001
279,769.0,GoodFellas,goodfellas+1990
280,772.0,Home Alone 2: Lost in New York,home+alone+2+lost+in+new+york+1992
281,775.0,A Trip to the Moon,a+trip+to+the+moon+1902
282,776.0,The Rules of the Game,the+rules+of+the+game+1939
283,778.0,Monsieur  Hulot's Holiday,monsieur++hulots+holiday+1953
284,779.0,Vampyr,vampyr+1932
285,780.0,The Passion of Joan of Arc,the+passion+of+joan+of+arc+1928
286,781.0,Wintersleepers,wintersleepers+1997
287,782.0,Gattaca,gattaca+1997
288,783.0,Gandhi,gandhi+1982
289,784.0,Kolya,kolya+1996
290,787.0,Mr. & Mrs. Smith,mr.++mrs.+smith+2005
291,790.0,The Fog,the+fog+1980
292,792.0,Platoon,platoon+1986
293,795.0,City of Angels,city+of+angels+1998
294,797.0,Persona,persona+1966
295,800.0,Los Olvidados,los+olvidados+1950
296,804.0,Roman Holiday,roman+holiday+1953
297,805.0,Rosemary's Baby,rosemarys+baby+1968
298,807.0,Se7en,se7en+1995
299,808.0,Shrek,shrek+2001
300,809.0,Shrek 2,shrek+2+2004
301,811.0,Silent Running,silent+running+1972
302,812.0,Aladdin,aladdin+1992
